date,time,volume,open,close,min,max
03/29/2012,15:20:01,236.91,1.32654,1.32683,1.32645,1.326895
03/29/2012,15:21:01,240.57,1.32682,1.326725,1.326725,1.32692
03/29/2012,15:22:01,269.04,1.32671,1.326765,1.326515,1.326875
03/29/2012,15:23:01,197.88,1.32677,1.32665,1.326545,1.326915
03/29/2012,15:24:01,186.02,1.32666,1.32667,1.326625,1.32685
03/29/2012,15:25:01,186.02,1.32669,1.326855,1.32661,1.326855
03/29/2012,15:26:01,178.3,1.326855,1.326815,1.32673,1.326945
03/29/2012,15:27:01,228.61,1.32682,1.326605,1.326545,1.327045
03/29/2012,15:28:01,141.11,1.326605,1.32684,1.326545,1.32684
03/29/2012,15:29:01,128.13,1.32683,1.326695,1.326575,1.32684
03/29/2012,15:30:01,231.7,1.326705,1.32662,1.32654,1.326725
03/29/2012,15:31:01,194.43,1.32662,1.32655,1.32653,1.326735
03/29/2012,15:32:01,201.6,1.32655,1.326405,1.32638,1.326605
03/29/2012,15:33:01,147.62,1.32642,1.326315,1.3263,1.32645
03/29/2012,15:34:01,284.73,1.326305,1.32638,1.32599,1.32642
03/29/2012,15:35:01,175.14,1.32641,1.32644,1.32633,1.32652
03/29/2012,15:36:01,222.74,1.32644,1.326145,1.326095,1.326455
03/29/2012,15:37:01,214.93,1.32614,1.325905,1.32585,1.32623
03/29/2012,15:38:01,215.08,1.3259,1.3259,1.32579,1.326035
03/29/2012,15:39:01,173.38,1.3259,1.326045,1.325895,1.32606
03/29/2012,15:40:01,115.13,1.326045,1.326135,1.32603,1.326145
03/29/2012,15:41:01,102.07,1.326135,1.32614,1.326045,1.32614
03/29/2012,15:42:01,153.25,1.326125,1.32612,1.3261,1.32635
03/29/2012,15:43:01,185.08,1.32613,1.32611,1.326105,1.326225
03/29/2012,15:44:01,119.48,1.32613,1.32588,1.32588,1.32613
03/29/2012,15:45:01,143.98,1.3259,1.325915,1.32589,1.32602
03/29/2012,15:46:01,253.69,1.325925,1.326155,1.32586,1.326155
03/29/2012,15:47:01,179.61,1.32616,1.32633,1.32616,1.32643
